Club,Saison,Numero,Joueur,Nationalite,Postes,Note
Tottenham Hotspur,2019-2020,17,Moussa Sissoko,France,MC,79
Tottenham Hotspur,2019-2020,24,Serge Aurier,Ivory Coast,DD,79
Tottenham Hotspur,2019-2020,33,Ben Davies,Wales,DC|DG,79
Tottenham Hotspur,2020-2021,7,Heung Min Son,Republic of Korea,AG|BU|MG,89
Tottenham Hotspur,2020-2021,10,Harry Kane,England,BU,89
Tottenham Hotspur,2020-2021,1,Hugo Lloris,France,G,87
Tottenham Hotspur,2020-2021,4,Toby Alderweireld,Belgium,DC,84
Tottenham Hotspur,2020-2021,5,Pierre-Emile Højbjerg,Denmark,MC|MDC,83
Tottenham Hotspur,2020-2021,9,Gareth Bale,Wales,AD|AG|BU,82
Tottenham Hotspur,2020-2021,3,Sergio Reguilón Rodríguez,Spain,DG,82
Tottenham Hotspur,2020-2021,27,Lucas Rodrigues M. Silva,Brazil,AD|BU|MD,81
Tottenham Hotspur,2020-2021,18,Giovani Lo Celso,Argentina,MC|MDC|MOC,81
Tottenham Hotspur,2020-2021,28,Tanguy Ndombele,France,MC|MOC,81
Tottenham Hotspur,2020-2021,24,Serge Aurier,Ivory Coast,DD,80
Tottenham Hotspur,2020-2021,20,Dele Alli,England,MOC,80
Tottenham Hotspur,2020-2021,6,Davinson Sánchez,Colombia,DC,80
Tottenham Hotspur,2020-2021,23,Steven Bergwijn,Netherlands,AG|MG,80
Tottenham Hotspur,2021-2022,7,Heung Min Son,Republic of Korea,AG|BU|MG,89
Tottenham Hotspur,2021-2022,10,Harry Kane,England,BU,89
Tottenham Hotspur,2021-2022,1,Hugo Lloris,France,G,87
Tottenham Hotspur,2021-2022,5,Pierre-Emile Højbjerg,Denmark,MC|MDC,83
Tottenham Hotspur,2021-2022,4,Cristian Romero,Argentina,DC,82
Tottenham Hotspur,2021-2022,15,Eric Dier,England,DC|MDC,80
Tottenham Hotspur,2021-2022,21,Dejan Kulusevski,Sweden,AD|MC,80
Tottenham Hotspur,2021-2022,30,Rodrigo Bentancur,Uruguay,MC|MDC,79
Tottenham Hotspur,2021-2022,12,Emerson Leite De Souza,Brazil,DD,78
Tottenham Hotspur,2021-2022,33,Ben Davies,Wales,DC|DG,77
Tottenham Hotspur,2021-2022,19,Ryan Sessegnon,England,DG,75
Tottenham Hotspur,2021-2022,27,Lucas Rodrigues M. Silva,Brazil,AD|BU|MD,81
Tottenham Hotspur,2021-2022,23,Steven Bergwijn,Netherlands,AG|MG,80
Tottenham Hotspur,2021-2022,18,Giovani Lo Celso,Argentina,MC|MDC|MOC,80
Tottenham Hotspur,2022-2023,10,Harry Kane,England,BU,89
Tottenham Hotspur,2022-2023,7,Heung Min Son,Republic of Korea,AG|BU|MG,88
Tottenham Hotspur,2022-2023,1,Hugo Lloris,France,G,84
Tottenham Hotspur,2022-2023,17,Cristian Romero,Argentina,DC,83
Tottenham Hotspur,2022-2023,5,Pierre-Emile Højbjerg,Denmark,MC|MDC,84
Tottenham Hotspur,2022-2023,23,Pedro Antonio Porro Sauceda,Spain,DD,82
Tottenham Hotspur,2022-2023,30,Rodrigo Bentancur,Uruguay,MC|MDC,82
Tottenham Hotspur,2022-2023,16,Arnaut Danjuma,Netherlands,BU,82
Tottenham Hotspur,2022-2023,21,Dejan Kulusevski,Sweden,AD|MC,81
Tottenham Hotspur,2022-2023,9,Richarlison de Andrade,Brazil,BU,81
Tottenham Hotspur,2022-2023,18,Giovani Lo Celso,Argentina,MC|MDC|MOC,81
Tottenham Hotspur,2022-2023,14,Ivan Perišić,Croatia,DG,80
Tottenham Hotspur,2022-2023,38,Yves Bissouma,Mali,MC|MDC,79
Tottenham Hotspur,2022-2023,28,Tanguy Ndombele,France,MC|MOC,79
Tottenham Hotspur,2022-2023,3,Sergio Reguilón Rodríguez,Spain,DG,79
Tottenham Hotspur,2022-2023,15,Eric Dier,England,DC|MDC,78
Tottenham Hotspur,2022-2023,34,Clément Lenglet,France,DC,78
Tottenham Hotspur,2022-2023,6,Davinson Sánchez,Colombia,DC,78
Tottenham Hotspur,2022-2023,27,Lucas Rodrigues M. Silva,Brazil,AD|BU|MD,77
Tottenham Hotspur,2022-2023,12,Emerson Leite De Souza,Brazil,DD,77
Tottenham Hotspur,2022-2023,33,Ben Davies,Wales,DC|DG,77
Tottenham Hotspur,2022-2023,4,Oliver Skipp,England,MC|MDC,77
Tottenham Hotspur,2022-2023,11,Bryan Gil Salvatierra,Spain,AG,77
Tottenham Hotspur,2022-2023,20,Fraser Forster,England,G,76
Tottenham Hotspur,2022-2023,19,Ryan Sessegnon,England,DG,76
Tottenham Hotspur,2022-2023,2,Matt Doherty,Republic of Ireland,DD,76
Tottenham Hotspur,2022-2023,24,Djed Spence,England,DD|DG,75
Tottenham Hotspur,2023-2024,7,Heung Min Son,Republic of Korea,AG|BU|MG,87
Tottenham Hotspur,2023-2024,10,James Maddison,England,MC|MOC,85
Tottenham Hotspur,2023-2024,13,Guglielmo Vicario,Italy,G,84
Tottenham Hotspur,2023-2024,17,Cristian Romero,Argentina,DC,83
Tottenham Hotspur,2023-2024,30,Rodrigo Bentancur,Uruguay,MC|MDC,82
Tottenham Hotspur,2023-2024,21,Dejan Kulusevski,Sweden,AD|MC,82
Tottenham Hotspur,2023-2024,23,Pedro Porro,Spain,DD,82
Tottenham Hotspur,2023-2024,38,Destiny Udogie,Italy,DG,81
Tottenham Hotspur,2023-2024,9,Richarlison,Brazil,AG|BU,81
Tottenham Hotspur,2023-2024,5,Pierre-Emile Højbjerg,Denmark,MC|MDC,81
Tottenham Hotspur,2023-2024,8,Yves Bissouma,Mali,MC|MDC,80
Tottenham Hotspur,2023-2024,37,Micky van de Ven,Netherlands,DC,80
Tottenham Hotspur,2023-2024,18,Giovani Lo Celso,Argentina,MC|MDC|MOC,80
Tottenham Hotspur,2023-2024,16,Timo Werner,Germany,AG,80
Tottenham Hotspur,2023-2024,29,Pape Matar Sarr,Senegal,MC|MDC,78
Tottenham Hotspur,2023-2024,12,Emerson Royal,Brazil,DG,77
Tottenham Hotspur,2023-2024,22,Brennan Johnson,Wales,AD,77
Tottenham Hotspur,2023-2024,4,Oliver Skipp,England,MC|MDC,77
Tottenham Hotspur,2023-2024,11,Bryan Gil,Spain,AG,77
Tottenham Hotspur,2023-2024,27,Manor Solomon,Israel,AG,77
Tottenham Hotspur,2023-2024,33,Ben Davies,Wales,DC|DG,77
Tottenham Hotspur,2023-2024,19,Ryan Sessegnon,England,DG,75
Tottenham Hotspur,2024-2025,10,James Maddison,England,MC|MOC,84
Tottenham Hotspur,2024-2025,21,Dejan Kulusevski,Sweden,AD|MC,84
Tottenham Hotspur,2024-2025,7,Heung Min Son,Republic of Korea,AG|BU|MG,86
Tottenham Hotspur,2024-2025,17,Cristian Romero,Argentina,DC,83
Tottenham Hotspur,2024-2025,1,Guglielmo Vicario,Italy,G,83
Tottenham Hotspur,2024-2025,37,Micky van de Ven,Netherlands,DC,83
Tottenham Hotspur,2024-2025,23,Pedro Porro,Spain,DD,82
Tottenham Hotspur,2024-2025,30,Rodrigo Bentancur,Uruguay,MC|MDC,81
Tottenham Hotspur,2024-2025,13,Destiny Udogie,Italy,DG,81
Tottenham Hotspur,2024-2025,19,Dominic Solanke,England,BU,80
Tottenham Hotspur,2024-2025,4,Kevin Danso,Austria,DC,80
Tottenham Hotspur,2024-2025,29,Pape Matar Sarr,Senegal,MC|MDC,80
Tottenham Hotspur,2024-2025,9,Richarlison,Brazil,AG|BU,79
Tottenham Hotspur,2024-2025,22,Brennan Johnson,Wales,AD,79
Tottenham Hotspur,2024-2025,8,Yves Bissouma,Mali,MC|MDC,79
Tottenham Hotspur,2024-2025,24,Djed Spence,England,DD|DG,78
Tottenham Hotspur,2024-2025,11,Mathys Tel,France,AG|MG,77
Tottenham Hotspur,2024-2025,16,Timo Werner,Germany,AG,77
Tottenham Hotspur,2024-2025,33,Ben Davies,Wales,DC|DG,76
Tottenham Hotspur,2024-2025,15,Lucas Bergvall,Sweden,MC,76
Tottenham Hotspur,2024-2025,31,Antonín Kinský,Czechia,G,75
Tottenham Hotspur,2024-2025,14,Archie Gray,England,MDC,75
Tottenham Hotspur,2024-2025,3,Reguilón,Spain,DG,75
Tottenham Hotspur,2024-2025,6,Radu Drăgușin,Romania,DC,75
Tottenham Hotspur,2024-2025,28,Wilson Odobert,France,AG,74
Tottenham Hotspur,2025-2026,10,James Maddison,England,MC|MOC,83
Tottenham Hotspur,2025-2026,21,Dejan Kulusevski,Sweden,AD|MC,83
Tottenham Hotspur,2025-2026,7,Xavi Simons,Netherlands,MOC,82
Tottenham Hotspur,2025-2026,6,Palhinha,Portugal,MDC,82
Tottenham Hotspur,2025-2026,17,Cristian Romero,Argentina,DC,82
Tottenham Hotspur,2025-2026,23,Pedro Porro,Spain,DD,82
Tottenham Hotspur,2025-2026,37,Micky van de Ven,Netherlands,DC,82
Tottenham Hotspur,2025-2026,1,Guglielmo Vicario,Italy,G,81
Tottenham Hotspur,2025-2026,20,Mohammed Kudus,Ghana,AD,81
Tottenham Hotspur,2025-2026,30,Rodrigo Bentancur,Uruguay,MC|MDC,80
Tottenham Hotspur,2025-2026,19,Dominic Solanke,England,BU,80
Tottenham Hotspur,2025-2026,29,Pape Matar Sarr,Senegal,MC|MDC,80
Tottenham Hotspur,2025-2026,9,Richarlison,Brazil,AG|BU,79
Tottenham Hotspur,2025-2026,39,Randal Kolo Muani,France,MD,79
Tottenham Hotspur,2025-2026,22,Conor Gallagher,England,MOC,79
Tottenham Hotspur,2025-2026,24,Djed Spence,England,DD|DG,79
Tottenham Hotspur,2025-2026,4,Kevin Danso,Austria,DC,79
Tottenham Hotspur,2025-2026,13,Destiny Udogie,Italy,DG,79
Tottenham Hotspur,2025-2026,8,Yves Bissouma,Mali,MC|MDC,78
Tottenham Hotspur,2025-2026,15,Lucas Bergvall,Sweden,MC,78
Tottenham Hotspur,2025-2026,11,Mathys Tel,France,AG|MG,77
Tottenham Hotspur,2025-2026,14,Archie Gray,England,MDC,77
Tottenham Hotspur,2025-2026,28,Wilson Odobert,France,AG,77
Tottenham Hotspur,2025-2026,31,Antonín Kinský,Czechia,G,75
Tottenham Hotspur,2025-2026,3,Radu Drăgușin,Romania,DC,75
Tottenham Hotspur,2025-2026,33,Ben Davies,Wales,DC|DG,75
